"id","expname","subject","ip","condnum","choice","submitted","round","event","name","value","time","addvar","adddata"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","onload","body","body","28","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","subject","cookie","2","30","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","order","col","0_1","30","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","order","row","0_1_2","30","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","events","open_close","0_0","30","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseover","box","Angle: 80","603","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","box","","1186","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseover","b0","1120 ECU","1186","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","b0","","1219","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseover","b1","30%","1219","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","b1","","1319","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseover","b1","30%","1452","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","b1","","1486","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseover","b0","1120 ECU","1486","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","b0","","1536","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseover","a1","1400 ECU","1537","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","a1","","1820","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseover","b0","1120 ECU","1820","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","b0","","1870","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseover","box","Angle: 80","2154","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","box","","2755","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseover","box","Angle: 80","6710","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","box","","7159","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseover","b0","1120 ECU","7159","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","b0","","7242","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseover","b1","30%","7259","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","b1","","7442","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseover","b0","1120 ECU","7442","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","b0","","7575","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseover","a0","40% = 560 ECU","7575","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","a0","","7667","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseover","b1","30%","7667","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","b1","","7766","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseover","box","Angle: 80","7767","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","box","","7833","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseover","b0","1120 ECU","7834","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","b0","","7866","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseover","a1","1400 ECU","7983","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","a1","","7999","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseover","b0","1120 ECU","8016","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","b0","","8083","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseover","box","Angle: 80","8084","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","box","","8334","null","null"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","submit","submit","submit","8924","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","onload","body","body","29","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","subject","cookie","2","31","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","order","col","0_1","31","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","order","row","0_1_2","31","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","events","open_close","0_0","31","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseover","b0","1120 ECU","258","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseout","b0","","274","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseover","a1","1400 ECU","274","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseout","a1","","291","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseover","a0","40% = 560 ECU","291","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseout","a0","","474","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseover","a1","1400 ECU","474","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseout","a1","","658","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseover","a0","40% = 560 ECU","674","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseout","a0","","692","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseover","a1","1400 ECU","707","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseout","a1","","741","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseover","a1","1400 ECU","757","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseout","a1","","891","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseover","a0","40% = 560 ECU","891","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseout","a0","","941","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseover","b1","10%","958","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseout","b1","","1042","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseover","b0","1120 ECU","1042","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseout","b0","","1126","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseover","a1","1400 ECU","1126","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseout","a1","","1225","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseover","b0","1120 ECU","1225","null","null"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseout","b0","","1259","null","null"
