"id","expname","subject","ip","condnum","choice","submitted","round","event","roword","colord","evttype","boxname","boxin","boxtime","counter","addvar","adddata","relcount","maxcount","f_c1","f_b1","f_b0","f_c0","f_a1","f_a0","t_c1","t_b1","t_b0","t_c0","t_a1","t_a0"
"51","group_1","23","::1","5","","2019-11-21 11:22:36","18","mouseout","0_1_2","0_1","0_0","c1","1114","101","1","null","null","0.5","2","1","0","0","0","0","0","101","0","0","0","0","0"
"51","group_1","23","::1","5","","2019-11-21 11:22:36","18","mouseout","0_1_2","0_1","0_0","b1","1215","182","2","null","null","1","2","0","1","0","0","0","0","0","182","0","0","0","0"
"52","group_1","29","::1","5","","2019-11-22 10:33:13","1","mouseout","0_1_2","0_1","0_0","b1","3305","432","1","null","null","0.25","4","0","1","0","0","0","0","0","432","0","0","0","0"
"52","group_1","29","::1","5","","2019-11-22 10:33:13","1","mouseout","0_1_2","0_1","0_0","b0","3738","232","2","null","null","0.5","4","0","0","1","0","0","0","0","0","232","0","0","0"
"52","group_1","29","::1","5","","2019-11-22 10:33:13","1","mouseout","0_1_2","0_1","0_0","a1","4020","350","3","null","null","0.75","4","0","0","0","0","1","0","0","0","0","0","350","0"
"52","group_1","29","::1","5","","2019-11-22 10:33:13","1","mouseout","0_1_2","0_1","0_0","c0","4537","151","4","null","null","1","4","0","0","0","1","0","0","0","0","0","151","0","0"
"53","group_1","29","::1","5","","2019-11-22 10:33:44","2","mouseout","0_1_2","0_1","0_0","b1","6837","268","1","null","null","0.33333333333333","3","0","1","0","0","0","0","0","268","0","0","0","0"
"53","group_1","29","::1","5","","2019-11-22 10:33:44","2","mouseout","0_1_2","0_1","0_0","a1","7121","200","2","null","null","0.66666666666667","3","0","0","0","0","1","0","0","0","0","0","200","0"
"53","group_1","29","::1","5","","2019-11-22 10:33:44","2","mouseout","0_1_2","0_1","0_0","c1","7371","133","3","null","null","1","3","1","0","0","0","0","0","133","0","0","0","0","0"
"54","group_1","29","::1","5","","2019-11-22 10:33:54","3","mouseout","0_1_2","0_1","0_0","b0","1581","183","1","null","null","0.5","2","0","0","1","0","0","0","0","0","183","0","0","0"
"54","group_1","29","::1","5","","2019-11-22 10:33:54","3","mouseout","0_1_2","0_1","0_0","c0","1814","933","2","null","null","1","2","0","0","0","1","0","0","0","0","0","933","0","0"
