"id","expname","subject","ip","condnum","choice","submitted","round","event","name","value","time","addvar","adddata"
"93","condition_4","35","::1","4","","2020-11-16 19:10:58","23","onload","body","body","74","null","null"
"93","condition_4","35","::1","4","","2020-11-16 19:10:58","23","subject","random","0","77","null","null"
"93","condition_4","35","::1","4","","2020-11-16 19:10:58","23","order","col","0_1","77","null","null"
"93","condition_4","35","::1","4","","2020-11-16 19:10:58","23","order","row","0_1","77","null","null"
"93","condition_4","35","::1","4","","2020-11-16 19:10:58","23","events","open_close","0_0","77","null","null"
"93","condition_4","35","::1","4","","2020-11-16 19:10:58","23","mouseover","a0","525 ECU","759","null","null"
"93","condition_4","35","::1","4","","2020-11-16 19:10:58","23","mouseout","a0","","842","null","null"
"93","condition_4","35","::1","4","","2020-11-16 19:10:58","23","mouseover","b1","25% = 350 ECU","875","null","null"
"93","condition_4","35","::1","4","","2020-11-16 19:10:58","23","mouseout","b1","","891","null","null"
"93","condition_4","35","::1","4","","2020-11-16 19:10:58","23","mouseover","a1","30%","909","null","null"
"93","condition_4","35","::1","4","","2020-11-16 19:10:58","23","mouseout","a1","","1025","null","null"
"93","condition_4","35","::1","4","","2020-11-16 19:10:58","23","mouseover","a0","525 ECU","1025","null","null"
"93","condition_4","35","::1","4","","2020-11-16 19:10:58","23","mouseout","a0","","1108","null","null"
"93","condition_4","35","::1","4","","2020-11-16 19:10:58","23","mouseover","b0","1400 ECU","1108","null","null"
"93","condition_4","35","::1","4","","2020-11-16 19:10:58","23","mouseout","b0","","1142","null","null"
"93","condition_4","35","::1","4","","2020-11-16 19:10:58","23","mouseover","b1","25% = 350 ECU","1142","null","null"
"93","condition_4","35","::1","4","","2020-11-16 19:10:58","23","mouseout","b1","","1625","null","null"
"93","condition_4","35","::1","4","","2020-11-16 19:10:58","23","submit","submit","submit","2602","null","null"
"94","condition_4","35","::1","4","","2020-11-16 19:11:03","24","onload","body","body","25","null","null"
"94","condition_4","35","::1","4","","2020-11-16 19:11:03","24","subject","random","0","27","null","null"
"94","condition_4","35","::1","4","","2020-11-16 19:11:03","24","order","col","0_1","27","null","null"
"94","condition_4","35","::1","4","","2020-11-16 19:11:03","24","order","row","0_1","27","null","null"
"94","condition_4","35","::1","4","","2020-11-16 19:11:03","24","events","open_close","0_0","27","null","null"
"94","condition_4","35","::1","4","","2020-11-16 19:11:03","24","mouseover","b0","1200 ECU","437","null","null"
"94","condition_4","35","::1","4","","2020-11-16 19:11:03","24","mouseout","b0","","486","null","null"
"94","condition_4","35","::1","4","","2020-11-16 19:11:03","24","mouseover","a0","600 ECU","486","null","null"
"94","condition_4","35","::1","4","","2020-11-16 19:11:03","24","mouseout","a0","","519","null","null"
"94","condition_4","35","::1","4","","2020-11-16 19:11:03","24","mouseover","a1","20%","537","null","null"
"94","condition_4","35","::1","4","","2020-11-16 19:11:03","24","mouseout","a1","","604","null","null"
"94","condition_4","35","::1","4","","2020-11-16 19:11:03","24","mouseover","b1","25% = 300 ECU","604","null","null"
"94","condition_4","35","::1","4","","2020-11-16 19:11:03","24","mouseout","b1","","703","null","null"
"94","condition_4","35","::1","4","","2020-11-16 19:11:03","24","mouseover","a1","20%","721","null","null"
"94","condition_4","35","::1","4","","2020-11-16 19:11:03","24","mouseout","a1","","737","null","null"
"94","condition_4","35","::1","4","","2020-11-16 19:11:03","24","mouseover","a0","600 ECU","753","null","null"
"94","condition_4","35","::1","4","","2020-11-16 19:11:03","24","mouseout","a0","","853","null","null"
"94","condition_4","35","::1","4","","2020-11-16 19:11:03","24","mouseover","b0","1200 ECU","853","null","null"
"94","condition_4","35","::1","4","","2020-11-16 19:11:03","24","mouseout","b0","","920","null","null"
"94","condition_4","35","::1","4","","2020-11-16 19:11:03","24","mouseover","b0","1200 ECU","987","null","null"
"94","condition_4","35","::1","4","","2020-11-16 19:11:03","24","mouseout","b0","","1097","null","null"
"94","condition_4","35","::1","4","","2020-11-16 19:11:03","24","submit","submit","submit","1396","null","null"
"99","condition_4","43","::1","4","","2020-11-16 21:35:41","1","onload","body","body","33","null","null"
"99","condition_4","43","::1","4","","2020-11-16 21:35:41","1","subject","cookie","4","35","null","null"
"99","condition_4","43","::1","4","","2020-11-16 21:35:41","1","order","col","0_1","35","null","null"
"99","condition_4","43","::1","4","","2020-11-16 21:35:41","1","order","row","0_1","35","null","null"
"99","condition_4","43","::1","4","","2020-11-16 21:35:41","1","events","open_close","0_0","35","null","null"
"99","condition_4","43","::1","4","","2020-11-16 21:35:41","1","mouseover","a1","1400 ECU","6529","null","null"
"99","condition_4","43","::1","4","","2020-11-16 21:35:41","1","mouseout","a1","","6593","null","null"
"99","condition_4","43","::1","4","","2020-11-16 21:35:41","1","mouseover","a0","25% = 350 ECU","6593","null","null"
"99","condition_4","43","::1","4","","2020-11-16 21:35:41","1","mouseout","a0","","6642","null","null"
"99","condition_4","43","::1","4","","2020-11-16 21:35:41","1","mouseover","b0","20%","6642","null","null"
"99","condition_4","43","::1","4","","2020-11-16 21:35:41","1","mouseout","b0","","6926","null","null"
"99","condition_4","43","::1","4","","2020-11-16 21:35:41","1","mouseover","b1","700 ECU","6943","null","null"
"99","condition_4","43","::1","4","","2020-11-16 21:35:41","1","mouseout","b1","","6961","null","null"
"99","condition_4","43","::1","4","","2020-11-16 21:35:41","1","submit","submit","submit","7571","null","null"
"100","condition_4","43","::1","4","","2020-11-16 21:35:46","2","onload","body","body","32","null","null"
"100","condition_4","43","::1","4","","2020-11-16 21:35:46","2","subject","cookie","4","35","null","null"
"100","condition_4","43","::1","4","","2020-11-16 21:35:46","2","order","col","0_1","35","null","null"
"100","condition_4","43","::1","4","","2020-11-16 21:35:46","2","order","row","0_1","35","null","null"
"100","condition_4","43","::1","4","","2020-11-16 21:35:46","2","events","open_close","0_0","35","null","null"
"100","condition_4","43","::1","4","","2020-11-16 21:35:46","2","mouseover","a1","1200 ECU","284","null","null"
"100","condition_4","43","::1","4","","2020-11-16 21:35:46","2","mouseout","a1","","366","null","null"
