"id","expname","subject","ip","condnum","choice","submitted","round","event","name","value","time","addvar","adddata"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","onload","body","body","32","null","null"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","subject","cookie","5","34","null","null"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","order","col","0_1","34","null","null"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","order","row","0_1","34","null","null"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","events","open_close","0_0","34","null","null"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseover","b1","1700 ECU","1869","null","null"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseout","b1","","1952","null","null"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseover","a1","Payback + 300%","1952","null","null"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseout","a1","","2053","null","null"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseover","a0","10% chance","2053","null","null"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseout","a0","","2470","null","null"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseover","b0","Tax (40%): 680 ECU ","2470","null","null"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseout","b0","","2769","null","null"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseover","b0","Tax (40%): 680 ECU ","2837","null","null"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseout","b0","","6086","null","null"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseover","b1","1700 ECU","6086","null","null"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseout","b1","","6970","null","null"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseover","a1","Payback + 300%","7019","null","null"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseout","a1","","7752","null","null"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseover","a0","10% chance","7752","null","null"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseout","a0","","8302","null","null"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseover","b0","Tax (40%): 680 ECU ","8303","null","null"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseout","b0","","9085","null","null"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","submit","submit","submit","13883","null","null"
"2","condition_5","2","::1","5","","2019-04-04 11:23:45","2","onload","body","body","42","null","null"
"2","condition_5","2","::1","5","","2019-04-04 11:23:45","2","subject","cookie","5","45","null","null"
"2","condition_5","2","::1","5","","2019-04-04 11:23:45","2","order","col","0_1","45","null","null"
"2","condition_5","2","::1","5","","2019-04-04 11:23:45","2","order","row","0_1","45","null","null"
"2","condition_5","2","::1","5","","2019-04-04 11:23:45","2","events","open_close","0_0","45","null","null"
"2","condition_5","2","::1","5","","2019-04-04 11:23:45","2","mouseover","a1","Payback + 300%","4134","null","null"
"2","condition_5","2","::1","5","","2019-04-04 11:23:45","2","mouseout","a1","","4150","null","null"
"2","condition_5","2","::1","5","","2019-04-04 11:23:45","2","mouseover","b1","1500 ECU","4733","null","null"
"2","condition_5","2","::1","5","","2019-04-04 11:23:45","2","mouseout","b1","","4800","null","null"
"2","condition_5","2","::1","5","","2019-04-04 11:23:45","2","mouseover","a0","30% chance","4817","null","null"
"2","condition_5","2","::1","5","","2019-04-04 11:23:45","2","mouseout","a0","","5284","null","null"
"2","condition_5","2","::1","5","","2019-04-04 11:23:45","2","mouseover","a1","Payback + 300%","5284","null","null"
"2","condition_5","2","::1","5","","2019-04-04 11:23:45","2","mouseout","a1","","5750","null","null"
"2","condition_5","2","::1","5","","2019-04-04 11:23:45","2","mouseover","b1","1500 ECU","5766","null","null"
"2","condition_5","2","::1","5","","2019-04-04 11:23:45","2","mouseout","b1","","6116","null","null"
"2","condition_5","2","::1","5","","2019-04-04 11:23:45","2","mouseover","b0","Tax (40%): 600 ECU ","6116","null","null"
"2","condition_5","2","::1","5","","2019-04-04 11:23:45","2","mouseout","b0","","6700","null","null"
"2","condition_5","2","::1","5","","2019-04-04 11:23:45","2","submit","submit","submit","12919","null","null"
"3","condition_5","2","::1","5","","2019-04-04 11:24:14","3","onload","body","body","30","null","null"
"3","condition_5","2","::1","5","","2019-04-04 11:24:14","3","subject","cookie","5","32","null","null"
"3","condition_5","2","::1","5","","2019-04-04 11:24:14","3","order","col","0_1","32","null","null"
"3","condition_5","2","::1","5","","2019-04-04 11:24:14","3","order","row","0_1","32","null","null"
"3","condition_5","2","::1","5","","2019-04-04 11:24:14","3","events","open_close","0_0","32","null","null"
"3","condition_5","2","::1","5","","2019-04-04 11:24:14","3","mouseover","b1","1500 ECU","1396","null","null"
"3","condition_5","2","::1","5","","2019-04-04 11:24:14","3","mouseout","b1","","1433","null","null"
"3","condition_5","2","::1","5","","2019-04-04 11:24:14","3","mouseover","a1","Payback + 200%","1433","null","null"
"3","condition_5","2","::1","5","","2019-04-04 11:24:14","3","mouseout","a1","","1861","null","null"
"3","condition_5","2","::1","5","","2019-04-04 11:24:14","3","mouseover","a0","30% chance","1879","null","null"
"3","condition_5","2","::1","5","","2019-04-04 11:24:14","3","mouseout","a0","","2329","null","null"
"3","condition_5","2","::1","5","","2019-04-04 11:24:14","3","mouseover","b0","Tax (40%): 600 ECU ","2346","null","null"
"3","condition_5","2","::1","5","","2019-04-04 11:24:14","3","mouseout","b0","","2695","null","null"
"3","condition_5","2","::1","5","","2019-04-04 11:24:14","3","submit","submit","submit","7835","null","null"
